time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1044.14,0.957,-0.259,-0.501,-0.117,0.196,-0.126
1044.196,0.954,-0.253,-0.5,-0.033,0.005,0.134
1044.252,0.956,-0.262,-0.502,0.02,-0.11,-0.088
1044.308,0.955,-0.26,-0.494,-0.155,-0.285,0.057
1044.364,0.956,-0.257,-0.494,-0.14,-0.102,0.019
1044.42,0.955,-0.278,-0.497,-0.018,-0.018,0.126
1044.476,0.956,-0.254,-0.511,-0.148,-0.094,-0.103
1044.532,0.958,-0.259,-0.501,0.234,-0.049,0.233
1044.589,0.953,-0.26,-0.508,-0.155,-0.216,0.149
1044.645,0.957,-0.262,-0.502,0.097,-0.056,0.065
1044.702,0.955,-0.26,-0.51,-0.132,-0.033,0.057
1044.758,0.952,-0.263,-0.504,-0.201,0.02,0.118
1044.814,0.959,-0.259,-0.503,0.005,0.005,-0.027
1044.871,0.956,-0.263,-0.503,-0.071,-0.171,0.042
1044.927,0.948,-0.261,-0.503,0.242,0.043,-0.095
1044.984,0.958,-0.264,-0.511,-0.064,-0.102,0.126
1045.04,0.958,-0.267,-0.504,-0.178,-0.194,0.195
1045.096,0.957,-0.26,-0.501,0.074,-0.201,0.149
1045.152,0.952,-0.267,-0.506,0.097,0.066,0.011
1045.209,0.958,-0.261,-0.5,-0.102,-0.026,-0.05
1045.265,0.955,-0.261,-0.506,-0.094,-0.033,-0.149
