time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll_accel,pitch_accel,roll_ekf,pitch_ekf,roll_madgwick,pitch_madgwick,roll_fused,pitch_fused
1025.958,0.964,-0.26,-0.513,0.112,-1.522,-0.103,-153.12307751998074,-59.17957489996123,-152.5038319182365,-59.469697159665174,-17.595325390562216,-47.82339553376284,-85.04957865439935,-53.646546346714004
1026.014,0.959,-0.261,-0.506,-0.102,1.173,0.126,-152.7148512551617,-59.302856208356694,-152.54598587779486,-59.38445131021409,-17.91934743348432,-48.27840093481253,-85.23266665563959,-53.83142612251331
1026.07,0.956,-0.264,-0.496,0.249,-1.14,0.156,-151.97549946792975,-59.555404187836515,-152.44989638647823,-59.460838087243374,-18.279162006187512,-48.85282700208685,-85.36452919633287,-54.15683254466511
1026.126,0.956,-0.263,-0.494,-0.01,0.562,-0.011,-151.96966887497527,-59.65507927824894,-152.3760484770618,-59.46143985119839,-18.615396269178103,-49.33800735812101,-85.49572237311995,-54.3997236046597
1026.182,0.963,-0.262,-0.505,0.074,-0.14,-0.164,-152.5791792802091,-59.42634331926718,-152.40230699196968,-59.46074089907574,-18.956455127362442,-49.862319615963756,-85.67938105966606,-54.66153025751974
1026.239,0.955,-0.266,-0.499,0.02,-0.071,-0.111,-151.9394335423924,-59.369554005008965,-152.32760589742182,-59.44764298146553,-19.320445126087638,-50.38781739245294,-85.82402551175473,-54.91773018695923
1026.295,0.961,-0.262,-0.504,-0.193,0.31,0.011,-152.53272766139187,-59.413347312008035,-152.3649238714713,-59.42483628397931,-19.692125613266402,-50.88121577002772,-86.02852474236884,-55.15302602700352
1026.352,0.952,-0.268,-0.503,0.028,0.081,0.065,-151.95116701244223,-59.091981053245775,-152.29552599444062,-59.36544113254965,-20.08119004704452,-51.3907721281132,-86.18835802074257,-55.37810663033142
1026.408,0.955,-0.254,-0.508,0.005,-0.453,-0.095,-153.434948822922,-59.259041661101016,-152.46945518878488,-59.3646890954504,-20.463633092307965,-51.92411898300127,-86.46654414054642,-55.64440403922583
1026.464,0.954,-0.258,-0.501,0.226,0.264,-0.073,-152.75288842974936,-59.429597429071066,-152.5064059091823,-59.356220758851805,-20.828505531187606,-52.41613618929052,-86.66745572018495,-55.88617847407116
1026.521,0.951,-0.267,-0.502,-0.232,-0.514,0.08,-151.9927161784209,-59.12543137706338,-152.44154766108215,-59.338720528992646,-21.274114012726216,-52.950623705316914,-86.85783083690418,-56.144672117154784
1026.577,0.959,-0.262,-0.504,0.112,0.333,-0.195,-152.53272766139187,-59.36103375127804,-152.4517373790393,-59.31903160206458,-21.653935852046768,-53.436708440735046,-87.05283661554303,-56.377870021399815
1026.633,0.954,-0.273,-0.495,-0.056,-0.392,-0.202,-151.1225987777172,-59.35121041484223,-152.2464243862287,-59.33546247943352,-22.081746407136432,-53.954964161932686,-87.16408539668257,-56.6452133206831
1026.69,0.955,-0.259,-0.505,0.081,0.257,0.126,-152.84801495429795,-59.27754587409144,-152.3292363712574,-59.306858972273965,-22.512121522370165,-54.44314244269132,-87.42067894681378,-56.87500070748264
1026.746,0.953,-0.263,-0.49,-0.209,0.066,0.088,-151.77600141309537,-59.73446098453869,-152.24815782187284,-59.36400773242156,-22.967075255739914,-54.929178274807924,-87.60761653880638,-57.14659300361474
1026.802,0.955,-0.263,-0.505,0.112,-0.308,0.195,-152.48985672320333,-59.19618852350594,-152.27322885611326,-59.348095495745305,-23.434325381304237,-55.430524794247084,-87.85377711870875,-57.389310144996195
1026.863,0.966,-0.278,-0.51,0.211,0.058,0.286,-151.40528525793445,-58.98186160419139,-152.11796517066412,-59.281089244860354,-23.95554744304079,-55.94735417081965,-88.03675630685245,-57.61422170784
1026.92,0.958,-0.26,-0.504,0.005,0.005,0.072,-152.7120120544845,-59.37553097789164,-152.1997164387949,-59.28773251679285,-24.437547780255294,-56.4395762818308,-88.3186321095251,-57.86365439931183
1026.976,0.952,-0.26,-0.499,0.097,-0.644,-0.08,-152.4785898201591,-59.41508007860248,-152.23174690313667,-59.33107822211345,-24.930470939374768,-56.95647629916895,-88.58110892125572,-58.1437772606412
1027.032,0.954,-0.264,-0.513,-0.155,0.287,0.072,-152.76874885273887,-58.835975467032746,-152.31868846129288,-59.23264119494773,-25.431888414276685,-57.41961792746326,-88.87528843778477,-58.32612956120549
1027.088,0.955,-0.258,-0.496,0.226,-0.094,-0.218,-152.51829456653672,-59.653884532302804,-152.33818019775364,-59.29372313436132,-25.908462094855828,-57.90721135060438,-89.12332114630473,-58.60046724248285
1027.145,0.959,-0.259,-0.511,-0.048,-0.163,0.141,-153.12186024790137,-59.14667268384589,-152.46471103031814,-59.27135020054438,-26.455365122560313,-58.39596357872014,-89.46003807643923,-58.833656889632266
1027.201,0.958,-0.269,-0.5,0.288,0.684,-0.088,-151.71974850826314,-59.34646671211386,-152.3393826561142,-59.243070896274226,-26.942782809644136,-58.83305608606632,-89.64108273287917,-59.03806349117028
1027.257,0.943,-0.264,-0.516,0.104,-0.4,0.027,-152.9044475062482,-58.42309351658749,-152.4242287796998,-59.12545112922798,-27.509539356342803,-59.3200034111841,-89.9668840680213,-59.22272727020604
1027.314,0.967,-0.261,-0.493,0.005,0.532,0.027,-152.10272896905238,-60.020960305462964,-152.37803906550005,-59.22799430206841,-28.053448139914156,-59.76644786153736,-90.21574360270711,-59.497221081802884
1027.37,0.952,-0.257,-0.511,-0.056,-0.72,0.042,-153.3005570924194,-59.001395031932105,-152.52866745160824,-59.21999756965479,-28.666357288397663,-60.26466086592578,-90.59751237000296,-59.742329217790285
1027.426,0.949,-0.265,-0.51,-0.025,0.264,0.011,-152.54325771540013,-58.799812612651344,-152.54133642475887,-59.1331412234771,-29.25403533134301,-60.70923730471756,-90.89768587805094,-59.92118926409733
1027.482,0.938,-0.264,-0.503,-0.163,-0.102,0.011,-152.30722479706333,-58.80007570591456,-152.52132211644818,-59.07436721487019,-29.885415676537846,-61.16751282003562,-91.203368896493,-60.12094001745291
1027.538,0.958,-0.259,-0.498,-0.048,-0.247,0.057,-152.5219459561066,-59.63253211476451,-152.53099296871272,-59.16046373701505,-30.527223899838106,-61.63054252962985,-91.52910843427541,-60.39550313332245
1027.594,0.951,-0.265,-0.487,-0.003,-0.27,0.034,-151.4472732145377,-59.75789376502397,-152.3676623169382,-59.25798079564075,-31.19193914056685,-62.088340779521936,-91.77980072875253,-60.67316078758134
1027.65,0.954,-0.265,-0.493,-0.048,0.608,0.095,-151.74084329215836,-59.599983142855585,-152.2702932149035,-59.27825491480198,-31.833920354417856,-62.49927165278348,-92.05210678466068,-60.88876328379273
1027.706,0.953,-0.258,-0.5,0.081,-0.11,-0.034,-152.70626595652075,-59.44288786082305,-152.3294857807589,-59.30732220015644,-32.50888963278561,-62.947293491391854,-92.41918770677225,-61.12730784577415
1027.762,0.964,-0.263,-0.498,-0.025,0.303,0.011,-152.1609079922253,-59.70598057107215,-152.30184558651948,-59.35493964991648,-33.190335418269264,-63.36941966701208,-92.74609050239437,-61.362179658464285
